"","Sponsor.Name","Site.Name","AgrNbr","SiteNbr","Program.Type","County","Street.Address","Addr2","City","State","Zip.Code","Opr.Oct","Opr.Nov","Opr.Dec","Opr.Jan","Opr.Feb","Opr.Mar","Opr.Apr","Opr.May","Opr.Jun","Opr.Jul","Opr.Aug","Opr.Sep","Breakfast","Brk.Mon","Brk.Tue","Brk.Wed","Brk.Thu","Brk.Fri","Brk.Sat","Brk.Sun","AM.Snack","Ams.Mon","Ams.Tue","Ams.Wed","Ams.Thu","Ams.Fri","Ams.Sat","Ams.Sun","Lunch","Lun.Mon","Lun.Tue","Lun.Wed","Lun.Thu","Lun.Fri","Lun.Sat","Lun.Sun","PM.Snack","Pms.Mon","Pms.Tue","Pms.Wed","Pms.Thu","Pms.Fri","Pms.Sat","Pms.Sun","Supper","Sup.Mon","Sup.Tue","Sup.Wed","Sup.Thu","Sup.Fri","Sup.Sat","Sup.Sun","Evening.Snack","Eve.Mon","Eve.Tue","Eve.Wed","Eve.Thu","Eve.Fri","Eve.Sat","Eve.Sun","Qualifying.Area.School","QAS.SiteNbr","QAS..F.RP"
"199","Morrow Co SD","A C Houghton Elem","2513001",10918,"After School At Risk Meals and Snacks Center","Morrow County","1105 North Main Avenue","","Irrigon","OR","97844",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"A C Houghton Elem",10918,"77.0%"
"372","Springfield SD 19","Agnes Stewart Middle","2019007",10694,"After School At Risk Meals and Snacks Center","Lane County","900 S 32nd Street","","Springfield","OR","97477",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Agnes Stewart Middle",10694,"72.5%"
"290","Reynolds SD 7","Alder Elem","2618002",11077,"After School At Risk Meals and Snacks Center","Multnomah County","17200 SE Alder Street","","Portland","OR","97233",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Alder Elem",11077,"94.4%"
"88","David Douglas SD 40 - At Risk","Alice Ott","2604007",14820,"After School At Risk Meals and Snacks Center","Multnomah County","12500 SE Ramona","","Portland","OR","97236",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Alice Ott Middle",10937,"73.2%"
"246","Portland SD","Arleta Elem","2616011",11004,"After School At Risk Meals and Snacks Center","Multnomah County","5109 SE 66th Ave","","Portland","OR","97206",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Arleta Elem",11004,"65.8%"
"56","Central SD 13J","Ash Creek","2703001",12999,"After School At Risk Meals and Snacks Center","Polk County","1360 16th St.","","Monmouth","OR","97361",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Ash Creek",12999,"64.4%"
"398","Vermont Hills Family Life Center","Astor","2622001",14725,"After School At Risk Meals and Snacks Center","Multnomah County","5601 N Yale","","Portland","OR","97203",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Astor Elem",11005,"54.6%"
"105","Eugene Family YMCA","ATA/FS","2005004",15043,"After School At Risk Meals and Snacks Center","Lane County","1650 W 22nd","","Eugene","OR","97405",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arts and Technology Academy",10613,"68.8%"
"69","Confed. Tribes of Umatilla Indian Reservation - Center","ATAW MIYANASMA","3003003",12874,"After School At Risk Meals and Snacks Center","Umatilla County","73300 July Grounds","","Pendleton","OR","97801",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Washington Elem",11138,"67.9%"
"309","Salem-Keizer SD - At Risk","Auburn Elementary AR Site","2419020",14019,"After School At Risk Meals and Snacks Center","Marion County","4612 Auburn Rd. NE","","Salem","OR","97301",0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Auburn Elem",10850,"74.1%"
