Col Index,Sponsor.Name,Site.Name,site alias,School ID,AgrNbr,SiteNbr,Program.Type,County,Street.Address,Addr2,City,State,Zip.Code,Opr.Oct,Opr.Nov,Opr.Dec,Opr.Jan,Opr.Feb,Opr.Mar,Opr.Apr,Opr.May,Opr.Jun,Opr.Jul,Opr.Aug,Opr.Sep,Breakfast,Brk.Mon,Brk.Tue,Brk.Wed,Brk.Thu,Brk.Fri,Brk.Sat,Brk.Sun,AM.Snack,Ams.Mon,Ams.Tue,Ams.Wed,Ams.Thu,Ams.Fri,Ams.Sat,Ams.Sun,Lunch,Lun.Mon,Lun.Tue,Lun.Wed,Lun.Thu,Lun.Fri,Lun.Sat,Lun.Sun,PM.Snack,Pms.Mon,Pms.Tue,Pms.Wed,Pms.Thu,Pms.Fri,Pms.Sat,Pms.Sun,Supper,Sup.Mon,Sup.Tue,Sup.Wed,Sup.Thu,Sup.Fri,Sup.Sat,Sup.Sun,Evening.Snack,Eve.Mon,Eve.Tue,Eve.Wed,Eve.Thu,Eve.Fri,Eve.Sat,Eve.Sun,Qualifying.Area.School,QAS.SiteNbr,QAS..F.RP
1,Beaverton SD 48J,Barnes Elem,,1154,3402002,11203,After School At Risk Meals and Snacks Center,Washington County,13730 SW Walker Rd,,Beaverton,OR,97005,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Barnes Elem,11203,69.90%
2,Beaverton SD 48J,Beaver Acres Elem,,1155,3402002,11204,After School At Risk Meals and Snacks Center,Washington County,2125 SW 170th Ave.,,Beaverton,OR,97006,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Beaver Acres Elem,11204,59.80%
3,Beaverton SD 48J,Cedar Park Middle,Cedar Park Middle School,1180,3402002,11195,After School At Risk Meals and Snacks Center,Washington County,11100 SW Park Way,,Portland,OR,97225,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,William Walker Elem,11230,82.90%
4,Beaverton SD 48J,Five Oaks Middle,Five Oaks Middle School,1181,3402002,11197,After School At Risk Meals and Snacks Center,Washington County,1600 NW 173rd Ave.,,Beaverton,OR,97006,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Five Oaks Middle,11197,58.30%
5,Beaverton SD 48J,Health Science School,Health Science School,4638,3402002,14279,After School At Risk Meals and Snacks Center,Washington County,18460 NW Walker Road Suite 1400,,Beaverton,OR,97006,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,McKinley Elementary,11218,58.40%
6,Beaverton SD 48J,Kinnaman After School Program,Kinnaman After School Program,1166,3402002,13995,After School At Risk Meals and Snacks Center,Washington County,4205 SW 193rd Ave,,Aloha,OR,97007,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Kinnaman Elem,11216,67.90%
7,Beaverton SD 48J,Meadow Park After School Program,Meadow Park After School Program,1182,3402002,14408,After School At Risk Meals and Snacks Center,Washington County,14100 SW Downing Street,,Beaverton,OR,97006,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Barnes Elem,11203,69.90%
8,Beaverton SD 48J,Merlo Station High,Merlo Station High School,No match,3402002,11192,After School At Risk Meals and Snacks Center,Washington County,18640 NW Walker Rd Suite 1400,,Beaverton,OR,97006,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Merlo Station High,11192,63.40%
9,Beaverton SD 48J,PALS,Police Activities League,No match,3402002,13303,After School At Risk Meals and Snacks Center,Washington County,12500 SW Allen Blvd.,,Beaverton,OR,97008,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Fir Grove Elem,11212,54.80%
10,Beaverton SD 48J,William Walker Elem,William Walker Elementary School,1179,3402002,11230,After School At Risk Meals and Snacks Center,Washington County,11940 SW Lynnfield Ln.,,Portland,OR,97225,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,William Walker Elem,11230,82.90%
