SchoolID,SchoolYearStart,CountyID,DistrictID,Enrollment,DistrictEnrollment,CountyEnrollment,FreeLunches,DistrictFreeLunches,CountyFreeLunches,ReducedLunches,DistrictReducedLunches,CountyReducedLunches,EligibleStudents,DistrictEligibleStudents,CountyEligibleStudents,PercentEligible,DistrictPercentEligible,CountyPercentEligible,County,District,School,Spacer
498,7/1/14,19,2063,8,8,1217,,,454,,,93,0,0,547,,,44.95,Lake,Adel SD 21,Adel Elementary School,
708,7/1/14,23,2113,80,266,5007,31,131,3147,,30,405,36,161,3552,,60.53,70.94,Malheur,Adrian SD 61,Adrian High School,
707,7/1/14,23,2113,186,266,5007,100,131,3147,25,30,405,125,161,3552,67.2,60.53,70.94,Malheur,Adrian SD 61,Adrian Elementary School,
17,7/1/14,2,1899,80,172,8840,39,104,2905,7,17,474,46,121,3379,57.5,70.35,38.22,Benton,Alsea SD 7J,Alsea High School,
16,7/1/14,2,1899,92,172,8840,65,104,2905,10,17,474,75,121,3379,81.52,70.35,38.22,Benton,Alsea SD 7J,Alsea Elementary School,
4505,7/1/14,36,2252,52,894,16624,,356,7498,,72,1098,0,428,8596,,47.87,51.71,Yamhill,Amity SD 4J,Eola Hills Charter School,
1210,7/1/14,36,2252,291,894,16624,104,356,7498,27,72,1098,131,428,8596,45.02,47.87,51.71,Yamhill,Amity SD 4J,Amity High School,
1208,7/1/14,36,2252,353,894,16624,160,356,7498,24,72,1098,184,428,8596,52.12,47.87,51.71,Yamhill,Amity SD 4J,Amity Elementary School,
1209,7/1/14,36,2252,198,894,16624,92,356,7498,21,72,1098,113,428,8596,57.07,47.87,51.71,Yamhill,Amity SD 4J,Amity Middle School,
705,7/1/14,23,2111,66,83,5007,48,48,3147,8,8,405,56,56,3552,84.85,67.47,70.94,Malheur,Annex SD 29,Annex Charter School,
323,7/1/14,11,2005,136,136,265,67,67,108,24,24,56,91,91,164,66.91,66.91,61.89,Gilliam,Arlington SD 3,Arlington Community Charter School,
711,7/1/14,23,2115,14,14,5007,,,3147,,,405,0,0,3552,,,70.94,Malheur,Arock SD 81,W W Jones Elementary School,
1481,7/1/14,15,2041,13,2818,28633,,936,14891,,162,2045,0,1098,16936,,38.96,59.15,Jackson,Ashland SD 5,Community Works/Lithia Springs School,
