SchoolID,PROGRAM_SCHOOL_SERVED,PROGRAM_ZIP,PROGRAM_INFO_OFFERED_AFTER_SCHOOL,PROGRAM_INFO_OFFERED_BEFORE_SCHOOL,PROGRAM_INFO_AVERAGE_HOURS_PER_WEEK,PROGRAM_INFO_MAX_CAPACITY
,,97403,FALSE,FALSE,,128
,,97526,FALSE,FALSE,,63
,,97211,FALSE,FALSE,,54
,,97305,FALSE,FALSE,,15
,,97022,FALSE,FALSE,,25
,,97439,FALSE,FALSE,,23
,,97055,FALSE,FALSE,,38
,,97401,FALSE,FALSE,,40
,,97341,FALSE,FALSE,,50
,,97527,FALSE,FALSE,,45
,,97224,FALSE,FALSE,,20
,,97140,FALSE,FALSE,,31
,,97404,FALSE,FALSE,,40
,,97007,FALSE,FALSE,,99
,,97056,FALSE,FALSE,,49
,,97080,FALSE,FALSE,,99
,,97013,FALSE,FALSE,,48
,,97013,FALSE,FALSE,,110
,,97420,FALSE,FALSE,,27
,,97110,FALSE,FALSE,,41
,,97438,FALSE,FALSE,,30
,,97322,FALSE,FALSE,,60
,,97405,FALSE,FALSE,,40
,,97140,FALSE,FALSE,,20
,,97756,FALSE,FALSE,,60
,,97124,FALSE,FALSE,,80
,,97401,FALSE,FALSE,,56
,,97401,FALSE,FALSE,,50
,,97223,FALSE,FALSE,,119
,,97123,FALSE,FALSE,,91
,,97470,FALSE,FALSE,,100
,,97068,FALSE,FALSE,,136
,,97038,FALSE,FALSE,,24
,,97701,FALSE,FALSE,,46
,,97527,FALSE,FALSE,,138
,,97239,FALSE,FALSE,,172
,,97420,FALSE,FALSE,,90
,,97045,FALSE,FALSE,,48
,,97365,FALSE,FALSE,,24
,,97034,FALSE,FALSE,,88
,,97015,FALSE,FALSE,,156
,,97391,FALSE,FALSE,,74
,,97403,TRUE,FALSE,12,45
,,97306,FALSE,FALSE,,106
,,97448,FALSE,FALSE,,39
,,97389,FALSE,FALSE,,20
,,97140,FALSE,FALSE,,164
,,97756,FALSE,FALSE,,38
,,97402,FALSE,FALSE,,50
,,97219,FALSE,FALSE,,53
,,97229,FALSE,FALSE,,41
,,97504,FALSE,FALSE,,60
,,97224,FALSE,FALSE,,40
,,97005,FALSE,FALSE,,60
,,97005,FALSE,FALSE,,30
,,97739,FALSE,FALSE,,20
,,97526,FALSE,FALSE,,39
,,97005,FALSE,FALSE,,185
,,97070,FALSE,FALSE,,23
,,97239,FALSE,FALSE,,38
,,97527,FALSE,FALSE,,39
,,97209,FALSE,FALSE,,180
,,97214,FALSE,FALSE,,25
,,97478,FALSE,FALSE,,45
,,97214,FALSE,FALSE,,67
,,97124,FALSE,FALSE,,39
,,97006,FALSE,FALSE,,45
,,97006,FALSE,FALSE,,158
,,97229,FALSE,FALSE,,128
,,97223,FALSE,FALSE,,87
,,97402,FALSE,FALSE,,41
,,97220,FALSE,FALSE,,36
,,97206,FALSE,FALSE,,64
,,97520,FALSE,FALSE,,60
,,97220,FALSE,FALSE,,97
,,97132,FALSE,FALSE,,36
,,97089,FALSE,FALSE,,60
,,97205,FALSE,FALSE,,27
,,97211,FALSE,FALSE,,39
,,97415,FALSE,FALSE,,20
,,97501,FALSE,FALSE,,20
,,97527,FALSE,FALSE,,37
,,97701,FALSE,FALSE,,49
,,97015,FALSE,FALSE,,97
,,97116,FALSE,FALSE,,24
,,97007,FALSE,FALSE,,39
,,97223,FALSE,FALSE,,104
,,97006,FALSE,FALSE,,35
,,97217,FALSE,FALSE,,45
,,97213,FALSE,FALSE,,80
,,97006,FALSE,FALSE,,40
,,97218,FALSE,FALSE,,70
,,97005,FALSE,FALSE,,61
,,97068,FALSE,FALSE,,50
,,97217,FALSE,FALSE,,30
,,97068,FALSE,FALSE,,30
,,97070,FALSE,FALSE,,36
,,97236,FALSE,FALSE,,43
,,97333,FALSE,FALSE,,25
,,97220,FALSE,FALSE,,39
,,97229,FALSE,FALSE,,45
,,97405,FALSE,FALSE,,30
,,97405,FALSE,FALSE,,30
,,97823,FALSE,FALSE,,40
,,97303,FALSE,FALSE,,30
,,97351,FALSE,FALSE,,34
,,97496,FALSE,FALSE,,15
,,97223,FALSE,FALSE,,34
,,97330,FALSE,FALSE,,50
,,97031,FALSE,FALSE,,76
,,97301,FALSE,FALSE,,49
,,97225,FALSE,FALSE,,97
,,97006,FALSE,FALSE,,106
,,97404,FALSE,FALSE,,60
,,97214,FALSE,FALSE,,120
,,97303,FALSE,FALSE,,38
,,97132,FALSE,FALSE,,39
,,97209-2054,FALSE,FALSE,,50
,,97220,FALSE,FALSE,,83
,,97202,FALSE,FALSE,,70
,,97219,FALSE,FALSE,,39
,,97229,FALSE,FALSE,,45
,,97477,FALSE,FALSE,,20
,,97006,FALSE,FALSE,,20
,,97212,FALSE,FALSE,,120
,,97212,FALSE,FALSE,,75
,,97801,FALSE,FALSE,,27
,,97402,FALSE,FALSE,,124
,,97739,FALSE,FALSE,,76
,,97070,FALSE,FALSE,,37
,,97203,FALSE,FALSE,,40
,,97007,FALSE,FALSE,,52
,,97381,FALSE,FALSE,,20
,,97701,FALSE,FALSE,,43
,,97303,FALSE,FALSE,,117
,,97224,FALSE,FALSE,,88
,,97702,FALSE,FALSE,,55
,,97355,FALSE,FALSE,,40
,,97330,FALSE,FALSE,,30
,,97305,FALSE,FALSE,,120
,,97007,FALSE,FALSE,,72
,,97361,FALSE,FALSE,,20
,,97438,FALSE,FALSE,,10
,,97217,FALSE,FALSE,,14
,,97220-4945,FALSE,FALSE,,50
,,97702,FALSE,FALSE,,58
,,97233,FALSE,FALSE,,50
,,97306,FALSE,FALSE,,45
,,97049,FALSE,FALSE,,30
,,97041,FALSE,FALSE,,46
,,97303,FALSE,FALSE,,180
,,97402,FALSE,FALSE,,50
,,97338,FALSE,FALSE,,32
,,97210,FALSE,FALSE,,141
,,97459,FALSE,FALSE,,124
,,97068,FALSE,FALSE,,32
,,97031,FALSE,FALSE,,35
,,97045,FALSE,FALSE,,38
,,97038,FALSE,FALSE,,35
,,97116,FALSE,FALSE,,60
,,97404,FALSE,FALSE,,50
,,97355,FALSE,FALSE,,20
,,97056,FALSE,FALSE,,30
,,97229,FALSE,FALSE,,39
,,97080,FALSE,FALSE,,100
,,97007,FALSE,FALSE,,99
,,97005,FALSE,FALSE,,65
,,97223,FALSE,FALSE,,35
,,97404,FALSE,FALSE,,60
,,97701,FALSE,FALSE,,36
,,97303,FALSE,FALSE,,30
,,97321,FALSE,FALSE,,39
,,97123,FALSE,FALSE,,40
,,97038-9247,FALSE,FALSE,,45
,,97229,FALSE,FALSE,,53
,,97222,FALSE,FALSE,,30
,,97007,FALSE,FALSE,,113
,,97206,FALSE,FALSE,,42
,,,TRUE,FALSE,5,50
,,97224,FALSE,FALSE,,106
,,97023,FALSE,FALSE,,25
,,97225,FALSE,FALSE,,38
,,97016,FALSE,FALSE,,40
,,97754,FALSE,FALSE,,48
,,97103,FALSE,FALSE,,57
,,97220,FALSE,FALSE,,24
,,97702,FALSE,FALSE,,24
,,97402,FALSE,FALSE,,50
,,97317,FALSE,FALSE,,45
,,97304,FALSE,FALSE,,60
,,97080,FALSE,FALSE,,164
,,97007,FALSE,FALSE,,27
,,97321,FALSE,FALSE,,22
,,97225,FALSE,FALSE,,150
,,97501,FALSE,FALSE,,35
,,97008,FALSE,FALSE,,97
,,97487,FALSE,FALSE,,60
,,97015-8451,FALSE,FALSE,,20
,,97113-6017,FALSE,FALSE,,47
,,97701,FALSE,FALSE,,50
,,97223,FALSE,FALSE,,189
,,97024,FALSE,FALSE,,160
,,97007,FALSE,FALSE,,98
,,97236,FALSE,FALSE,,49
,,97068,FALSE,FALSE,,57
,,97045,FALSE,FALSE,,56
,,97213,FALSE,FALSE,,180
,,97383,FALSE,FALSE,,39
,,97477,FALSE,FALSE,,116
,,97305,FALSE,FALSE,,94
,,97202,FALSE,FALSE,,57
,,97227,FALSE,FALSE,,40
,,97202,FALSE,FALSE,,40
,,97219,FALSE,FALSE,,68
,,97603,FALSE,FALSE,,116
,,97123,FALSE,FALSE,,64
,,97206,FALSE,FALSE,,20
,,97124,FALSE,FALSE,,128
,,97219,FALSE,FALSE,,39
,,97401,FALSE,FALSE,,30
,,97477,FALSE,FALSE,,10
,,97402,FALSE,FALSE,,25
,,97801,FALSE,FALSE,,44
,,97801,FALSE,FALSE,,38
,,97233,FALSE,FALSE,,45
,,97124,FALSE,FALSE,,31
,,97202,FALSE,FALSE,,58
,,97202,FALSE,FALSE,,74
,,97006,FALSE,FALSE,,124
,,97217,FALSE,FALSE,,20
,,97701,FALSE,FALSE,,82
,,97215,FALSE,FALSE,,185
,,97034-4653,FALSE,FALSE,,32
,,97034,FALSE,FALSE,,55
,,97420,FALSE,FALSE,,47
,,97060,FALSE,FALSE,,78
,,97219,FALSE,FALSE,,30
,,97127,FALSE,FALSE,,39
,,97035-2613,FALSE,FALSE,,61
,,97211,FALSE,FALSE,,75
,,97759,FALSE,FALSE,,20
,,97701,FALSE,FALSE,,22
,,97062,FALSE,FALSE,,67
,,97211,FALSE,FALSE,,29
,,97225,FALSE,FALSE,,181
,,97401,FALSE,FALSE,,116
,,97035,FALSE,FALSE,,97
,,97113,FALSE,FALSE,,80
,,97212,FALSE,FALSE,,42
,,97068,FALSE,FALSE,,50
,,97218,FALSE,FALSE,,135
,,97068,FALSE,FALSE,,40
,,97215,FALSE,FALSE,,59
,,97068-8271,FALSE,FALSE,,60
,,97070,FALSE,FALSE,,36
,,97128,FALSE,FALSE,,75
,,97236,FALSE,FALSE,,32
,,97218,FALSE,FALSE,,30
,,97408,FALSE,FALSE,,20
,,97124,FALSE,FALSE,,120
,,97124,FALSE,FALSE,,130
,,97123,FALSE,FALSE,,109
,,97202,FALSE,FALSE,,30
,,97756,FALSE,FALSE,,25
,,97850,FALSE,FALSE,,100
,,97338,FALSE,FALSE,,30
,,97201,FALSE,FALSE,,176
,,97301,FALSE,FALSE,,30
,,97008,FALSE,FALSE,,57
,,97701,FALSE,FALSE,,68
,,97230,FALSE,FALSE,,100
,,97229,FALSE,FALSE,,45
,,97402,FALSE,FALSE,,101
,,97707,FALSE,FALSE,,34
,,97041-9773,FALSE,FALSE,,20
,,97006,FALSE,FALSE,,74
,,97202,FALSE,FALSE,,15
,,97222,FALSE,FALSE,,35
,,97209,FALSE,FALSE,,30
,,97701,FALSE,FALSE,,112
,,97478,FALSE,FALSE,,59
,,97035,FALSE,FALSE,,87
,,97383,FALSE,FALSE,,45
,,97068,FALSE,FALSE,,23
,,97062,FALSE,FALSE,,28
,,97702,FALSE,FALSE,,86
,,97062,FALSE,FALSE,,85
,,97603,FALSE,FALSE,,50
,,97524,FALSE,FALSE,,32
,,97402,FALSE,FALSE,,27
,,97009,FALSE,FALSE,,34
,,97304,FALSE,FALSE,,70
,,97302,FALSE,FALSE,,45
,,97233,FALSE,FALSE,,64
,,97201,FALSE,FALSE,,112
,,97862,FALSE,FALSE,,20
,,97216,FALSE,FALSE,,34
,,97211,FALSE,FALSE,,80
,,97526,FALSE,FALSE,,29
,,97223,FALSE,FALSE,,23
,,97601,FALSE,FALSE,,
,,97501,FALSE,FALSE,,50
,,97702,FALSE,FALSE,,60
,,97227,FALSE,FALSE,,32
,,97128,FALSE,FALSE,,95
,,97539,FALSE,FALSE,,25
,,97035,FALSE,FALSE,,100
,,97301,FALSE,FALSE,,69
,,97124,FALSE,FALSE,,189
,,97086,FALSE,FALSE,,50
,,97217,FALSE,FALSE,,17
,,97210,FALSE,FALSE,,38
,,97701,FALSE,FALSE,,47
,,97501,FALSE,FALSE,,43
,,97501,FALSE,FALSE,,39
,,97702,FALSE,FALSE,,49
,,97701,FALSE,FALSE,,66
,,97330,FALSE,FALSE,,19
,,97401,FALSE,FALSE,,39
,,97202,FALSE,FALSE,,40
,,97405-4047,FALSE,FALSE,,56
,,97053,FALSE,FALSE,,71
,,97330,FALSE,FALSE,,30
,,97106,FALSE,FALSE,,22
,,97005,FALSE,FALSE,,50
,,97214,FALSE,FALSE,,80
,,97232,FALSE,FALSE,,39
,,97071,FALSE,FALSE,,60
,,97404,FALSE,FALSE,,60
,,97219,FALSE,FALSE,,50
,,97322,FALSE,FALSE,,130
,,97520,FALSE,FALSE,,34
,,97266,FALSE,FALSE,,40
,,97630,FALSE,FALSE,,57
,,97302,FALSE,FALSE,,70
,,97330,FALSE,FALSE,,30
,,97007,FALSE,FALSE,,30
,,97031,FALSE,FALSE,,58
,,97071,FALSE,FALSE,,210
,,97006,FALSE,FALSE,,107
,,97526,FALSE,FALSE,,49
,,97045,FALSE,FALSE,,128
,,97402,FALSE,FALSE,,39
,,97225,FALSE,FALSE,,23
,,97424,FALSE,FALSE,,20
,,97759,FALSE,FALSE,,12
,,97401,FALSE,FALSE,,150
,,97424,FALSE,FALSE,,22
,,97030,FALSE,FALSE,,104
,,97229,FALSE,FALSE,,90
,,97471,FALSE,FALSE,,62
,,97219,FALSE,FALSE,,102
,,97520,FALSE,FALSE,,114
,,97229,FALSE,FALSE,,165
,,97225,FALSE,FALSE,,15
,,97113,FALSE,FALSE,,172
,,97030,FALSE,FALSE,,78
,,97007,FALSE,FALSE,,76
,,97362,FALSE,FALSE,,39
,,97140,FALSE,FALSE,,20
,,97044,FALSE,FALSE,,62
,,97041,FALSE,FALSE,,90
,,97707,TRUE,FALSE,17,50
,,97305,FALSE,FALSE,,25
,,97219,FALSE,FALSE,,107
,,97219,FALSE,FALSE,,178
,,97030,FALSE,FALSE,,44
,,97402,FALSE,FALSE,,40
,,97701,FALSE,FALSE,,49
,,97222,FALSE,FALSE,,45
,,97229,FALSE,FALSE,,16
,,97227,FALSE,FALSE,,33
,,97034,FALSE,FALSE,,98
,,97450,FALSE,FALSE,,20
,,97338,FALSE,FALSE,,45
,,97005,FALSE,FALSE,,120
,,97239,FALSE,FALSE,,75
,,97232,FALSE,FALSE,,34
,,97623,FALSE,FALSE,,11
,,97439,FALSE,FALSE,,39
,,97367,FALSE,FALSE,,91
,,97222,FALSE,FALSE,,32
,,97330-5536,FALSE,FALSE,,36
,,97330,FALSE,FALSE,,10
,,97227,FALSE,FALSE,,33
,,97221,FALSE,FALSE,,81
,,97123,FALSE,FALSE,,60
,,97302,FALSE,FALSE,,35
,,97048,FALSE,FALSE,,39
,,97501,FALSE,FALSE,,15
,,97504,FALSE,FALSE,,25
,,97224,FALSE,FALSE,,80
,,97301,FALSE,FALSE,,36
,,97426,FALSE,FALSE,,39
,,97526,FALSE,FALSE,,34
,,97230,FALSE,FALSE,,52
,,97222,FALSE,FALSE,,35
,,97701,FALSE,FALSE,,14
,,97216,FALSE,FALSE,,9
,,97008,FALSE,FALSE,,15
,,97701,FALSE,FALSE,,39
,,97202,FALSE,FALSE,,39
,,97362,FALSE,FALSE,,40
,,97504,FALSE,FALSE,,37
,,97330,FALSE,FALSE,,49
,,97301-3840,FALSE,FALSE,,39
,,97701,FALSE,FALSE,,50
,,97212,FALSE,FALSE,,90
,,97239,FALSE,FALSE,,46
,,97914,FALSE,FALSE,,180
,,97006,FALSE,FALSE,,128
,,97007,FALSE,FALSE,,12
,,97222,FALSE,FALSE,,88
,,97124,FALSE,FALSE,,128
,,97236,FALSE,FALSE,,60
,,97304,FALSE,FALSE,,51
,,97850,FALSE,FALSE,,39
,,97140,FALSE,FALSE,,56
,,97229,FALSE,FALSE,,106
,,97383,FALSE,FALSE,,49
,,97402,FALSE,FALSE,,20
,,97035,FALSE,FALSE,,61
,,97526,FALSE,FALSE,,40
,,97005,FALSE,FALSE,,69
,,97229,FALSE,FALSE,,39
,,97140,FALSE,FALSE,,152
,,97005-0864,FALSE,FALSE,,14
,,97520,FALSE,FALSE,,39
,,97383,FALSE,FALSE,,40
,,97203,FALSE,FALSE,,36
,,97524,FALSE,FALSE,,30
,,97006,FALSE,FALSE,,30
,,97459,FALSE,FALSE,,75
,,97138,FALSE,FALSE,,20
,,97015,FALSE,FALSE,,134
,,97351,FALSE,FALSE,,140
,,97224,FALSE,FALSE,,36
,,97330,FALSE,FALSE,,75
,,97221,FALSE,FALSE,,40
,,97403,FALSE,FALSE,,44
,,97027,FALSE,FALSE,,30
,,97405,FALSE,FALSE,,15
,,97062,FALSE,FALSE,,42
,,97219-2163,FALSE,FALSE,,60
,,97487,FALSE,FALSE,,21
,,97015,FALSE,FALSE,,155
,,97209,FALSE,FALSE,,15
,,97439,FALSE,FALSE,,20
813,A C HOUGHTON ELEMENTARY SCHOOL,,FALSE,FALSE,,
822,ABERNETHY ELEMENTARY SCHOOL,97214,TRUE,TRUE,25,30
1350,ABRAHAM LINCOLN ELEMENTARY SCHOOL,97504,FALSE,FALSE,,40
1350,ABRAHAM LINCOLN ELEMENTARY SCHOOL,97504,TRUE,FALSE,,30
4555,ACADEMY FOR CHARACTER EDUCATION,,FALSE,FALSE,,
