SchoolID,School,District,SchoolType,Enrollment,No_of_Program,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
813,A C Houghton Elementary School,Morrow SD 1,E,298,1,76.17,76.6,English Language Arts,96.3,39.7
813,A C Houghton Elementary School,Morrow SD 1,E,298,1,76.17,76.6,Mathematics,97.5,35.4
822,Abernethy Elementary School,Portland SD 1J,E,512,1,11.33,92,English Language Arts,49.4,86.3
822,Abernethy Elementary School,Portland SD 1J,E,512,1,11.33,92,Mathematics,49,79.7
822,Abernethy Elementary School,Portland SD 1J,E,512,1,11.33,92,Science,,95
1350,Abraham Lincoln Elementary,Medford SD 549C,E,496,2,41.73,89.7,English Language Arts,99.6,66.5
1350,Abraham Lincoln Elementary,Medford SD 549C,E,496,2,41.73,89.7,Mathematics,99.6,55.4
1350,Abraham Lincoln Elementary,Medford SD 549C,E,496,2,41.73,89.7,Science,100,91.8
4555,Academy for Character Education,South Lane SD 45J3,H,117,1,,,English Language Arts,96.8,55
4555,Academy for Character Education,South Lane SD 45J3,H,117,1,,,Mathematics,100,64.4
4555,Academy for Character Education,South Lane SD 45J3,H,117,1,,,Science,96.7,93.1
4440,Academy of Arts and Academics,Springfield SD 19,H,352,1,55.68,68.7,English Language Arts,91.2,76.8
4440,Academy of Arts and Academics,Springfield SD 19,H,352,1,55.68,68.7,Mathematics,85.7,24.7
4440,Academy of Arts and Academics,Springfield SD 19,H,352,1,55.68,68.7,Science,98.9,64.4
4540,Academy of International Studies (at Woodburn),Woodburn SD 103,H,308,1,76.95,71.1,English Language Arts,98.7,56.6
4540,Academy of International Studies (at Woodburn),Woodburn SD 103,H,308,1,76.95,71.1,Mathematics,100,23.4
4540,Academy of International Studies (at Woodburn),Woodburn SD 103,H,308,1,76.95,71.1,Science,98.7,25
27,Adams Elementary School,Corvallis SD 509J,E,378,4,21.43,93,English Language Arts,99.5,66.5
27,Adams Elementary School,Corvallis SD 509J,E,378,4,21.43,93,Mathematics,98.9,66.5
27,Adams Elementary School,Corvallis SD 509J,E,378,4,21.43,93,Science,100,93.7
503,Adams Elementary School,Eugene SD 4J,E,444,7,40.54,87.2,English Language Arts,90.2,58.2
503,Adams Elementary School,Eugene SD 4J,E,444,7,40.54,87.2,Mathematics,92.6,51.8
503,Adams Elementary School,Eugene SD 4J,E,444,7,40.54,87.2,Science,98.7,64.9
498,Adel Elementary School,Adel SD 21,E,8,1,,95,English Language Arts,100,42.9
498,Adel Elementary School,Adel SD 21,E,8,1,,95,Mathematics,100,28.6
498,Adel Elementary School,Adel SD 21,E,8,1,,95,Science,,
707,Adrian Elementary School,Adrian SD 61,E,186,1,67.2,88.9,English Language Arts,100,62.5
707,Adrian Elementary School,Adrian SD 61,E,186,1,67.2,88.9,Mathematics,100,59.6
707,Adrian Elementary School,Adrian SD 61,E,186,1,67.2,88.9,Science,100,94.1
708,Adrian High School,Adrian SD 61,H,80,1,,92.3,English Language Arts,92.9,81.8
708,Adrian High School,Adrian SD 61,H,80,1,,92.3,Mathematics,85.7,25
708,Adrian High School,Adrian SD 61,H,80,1,,92.3,Science,85.7,83.3
1353,Agnes Stewart Middle School,Springfield SD 19,M,570,2,72.46,82,English Language Arts,99.5,45.9
1353,Agnes Stewart Middle School,Springfield SD 19,M,570,2,72.46,82,Mathematics,99.5,33.2
1353,Agnes Stewart Middle School,Springfield SD 19,M,570,2,72.46,82,Science,100,62.1
694,Aiken Elementary School,Ontario SD 8C,E,276,2,80.8,89.5,English Language Arts,100,32.5
694,Aiken Elementary School,Ontario SD 8C,E,276,2,80.8,89.5,Mathematics,100,35.8
694,Aiken Elementary School,Ontario SD 8C,E,276,2,80.8,89.5,Science,100,44.4
823,Ainsworth Elementary School,Portland SD 1J,E,582,5,5.67,95,English Language Arts,97.9,88.5
823,Ainsworth Elementary School,Portland SD 1J,E,582,5,5.67,95,Mathematics,96.5,78.6
823,Ainsworth Elementary School,Portland SD 1J,E,582,5,5.67,95,Science,92.4,91.8
1791,Al Kennedy Alternative High School,South Lane SD 45J3,H,82,1,82.93,30.6,English Language Arts,54.8,5.9
1791,Al Kennedy Alternative High School,South Lane SD 45J3,H,82,1,82.93,30.6,Mathematics,,5
1791,Al Kennedy Alternative High School,South Lane SD 45J3,H,82,1,82.93,30.6,Science,77.4,12.5
692,Alameda Elementary School,Ontario SD 8C,E,407,2,86,90.9,English Language Arts,99.6,40.5
692,Alameda Elementary School,Ontario SD 8C,E,407,2,86,90.9,Mathematics,98.7,28.6
692,Alameda Elementary School,Ontario SD 8C,E,407,2,86,90.9,Science,100,31.9
824,Alameda Elementary School,Portland SD 1J,E,767,3,7.82,94.9,English Language Arts,94.4,82.7
824,Alameda Elementary School,Portland SD 1J,E,767,3,7.82,94.9,Mathematics,93.3,78.5
824,Alameda Elementary School,Portland SD 1J,E,767,3,7.82,94.9,Science,97,86.7
3950,Albany Options School,Greater Albany Public SD 8J,H,381,1,33.86,57.3,English Language Arts,97.7,25.6
3950,Albany Options School,Greater Albany Public SD 8J,H,381,1,33.86,57.3,Mathematics,,5
3950,Albany Options School,Greater Albany Public SD 8J,H,381,1,33.86,57.3,Science,100,33.3
4364,Alberta Rider Elementary School,Tigard-Tualatin SD 23J,E,591,1,23.01,92.8,English Language Arts,99.7,74.8
4364,Alberta Rider Elementary School,Tigard-Tualatin SD 23J,E,591,1,23.01,92.8,Mathematics,99.7,67.9
4364,Alberta Rider Elementary School,Tigard-Tualatin SD 23J,E,591,1,23.01,92.8,Science,99.1,88.2
3530,Alder Creek Middle School,North Clackamas SD 12,M,999,1,54.75,84.3,English Language Arts,98.4,53.7
3530,Alder Creek Middle School,North Clackamas SD 12,M,999,1,54.75,84.3,Mathematics,96.9,36.3
3530,Alder Creek Middle School,North Clackamas SD 12,M,999,1,54.75,84.3,Science,99.3,46.7
943,Alder Elementary School,Reynolds SD 7,E,547,4,90.13,79.5,English Language Arts,96.7,15.5
943,Alder Elementary School,Reynolds SD 7,E,547,4,90.13,79.5,Mathematics,95.1,13.4
943,Alder Elementary School,Reynolds SD 7,E,547,4,90.13,79.5,Science,100,33.8
980,Alice Ott Middle School,David Douglas SD 40,M,711,2,74.12,91.8,English Language Arts,99.9,65.4
980,Alice Ott Middle School,David Douglas SD 40,M,711,2,74.12,91.8,Mathematics,99.9,53.5
980,Alice Ott Middle School,David Douglas SD 40,M,711,2,74.12,91.8,Science,100,71.9
435,Allen Dale Elementary School,Grants Pass SD 7,E,494,1,58.1,85.7,English Language Arts,99.6,43.4
435,Allen Dale Elementary School,Grants Pass SD 7,E,494,1,58.1,85.7,Mathematics,98.5,40
435,Allen Dale Elementary School,Grants Pass SD 7,E,494,1,58.1,85.7,Science,100,73.7
4585,Alliance Charter Academy,Oregon City SD 62,H,363,1,,,English Language Arts,84.8,72.1
4585,Alliance Charter Academy,Oregon City SD 62,H,363,1,,,Mathematics,84.8,50.8
4585,Alliance Charter Academy,Oregon City SD 62,H,363,1,,,Science,97.9,77.9
4507,Alliance High School,Portland SD 1J,H,171,1,57.31,50.4,English Language Arts,40.8,50
4507,Alliance High School,Portland SD 1J,H,171,1,57.31,50.4,Mathematics,40.8,20
4507,Alliance High School,Portland SD 1J,H,171,1,57.31,50.4,Science,21.6,63.6
1186,Aloha High School,Beaverton SD 48J,H,2058,1,56.56,71.9,English Language Arts,85.3,44.3
1186,Aloha High School,Beaverton SD 48J,H,2058,1,56.56,71.9,Mathematics,82.6,18.8
1186,Aloha High School,Beaverton SD 48J,H,2058,1,56.56,71.9,Science,,
1153,Aloha-Huber Park School,Beaverton SD 48J,E,992,4,81.75,88.8,English Language Arts,99.7,46.5
1153,Aloha-Huber Park School,Beaverton SD 48J,E,992,4,81.75,88.8,Mathematics,99.7,46.7
1153,Aloha-Huber Park School,Beaverton SD 48J,E,992,4,81.75,88.8,Science,99.4,50.6
16,Alsea Elementary School,Alsea SD 7J,E,92,1,81.52,77.4,English Language Arts,100,23.8
16,Alsea Elementary School,Alsea SD 7J,E,92,1,81.52,77.4,Mathematics,95.2,22.5
16,Alsea Elementary School,Alsea SD 7J,E,92,1,81.52,77.4,Science,100,50
17,Alsea High School,Alsea SD 7J,H,80,1,57.5,62,English Language Arts,82.6,50
17,Alsea High School,Alsea SD 7J,H,80,1,57.5,62,Mathematics,80.4,29.7
17,Alsea High School,Alsea SD 7J,H,80,1,57.5,62,Science,78.6,63.6
1324,Amity Creek Elementary School,Bend-LaPine Administrative SD 1,E,174,1,39.66,94.9,English Language Arts,98.9,77.5
1324,Amity Creek Elementary School,Bend-LaPine Administrative SD 1,E,174,1,39.66,94.9,Mathematics,98.9,62.9
1324,Amity Creek Elementary School,Bend-LaPine Administrative SD 1,E,174,1,39.66,94.9,Science,100,83.3
1208,Amity Elementary School,Amity SD 4J,E,353,2,52.12,76.6,English Language Arts,96.5,34.5
1208,Amity Elementary School,Amity SD 4J,E,353,2,52.12,76.6,Mathematics,95.9,25.6
1208,Amity Elementary School,Amity SD 4J,E,353,2,52.12,76.6,Science,98.2,58.2
1210,Amity High School,Amity SD 4J,H,291,1,45.02,69.8,English Language Arts,59.8,59.2
1210,Amity High School,Amity SD 4J,H,291,1,45.02,69.8,Mathematics,50,24.4
1210,Amity High School,Amity SD 4J,H,291,1,45.02,69.8,Science,85.4,81.4
1209,Amity Middle School,Amity SD 4J,M,198,1,57.07,70.2,English Language Arts,93.6,45.4
1209,Amity Middle School,Amity SD 4J,M,198,1,57.07,70.2,Mathematics,92,27.5
1209,Amity Middle School,Amity SD 4J,M,198,1,57.07,70.2,Science,92.2,57.6
705,Annex Charter School,Annex SD 29,E,66,1,84.85,80.6,English Language Arts,100,33.3
705,Annex Charter School,Annex SD 29,E,66,1,84.85,80.6,Mathematics,100,30.8
705,Annex Charter School,Annex SD 29,E,66,1,84.85,80.6,Science,100,50
1335,Antonia Crater Elementary School,Newberg SD 29J,E,472,2,27.12,93.3,English Language Arts,95.7,65
1335,Antonia Crater Elementary School,Newberg SD 29J,E,472,2,27.12,93.3,Mathematics,95.7,64.1
1335,Antonia Crater Elementary School,Newberg SD 29J,E,472,2,27.12,93.3,Science,95.5,85.5
402,Applegate Elementary School,Three Rivers/Josephine County SD,E,106,0,41.51,82.2,English Language Arts,100,71.6
402,Applegate Elementary School,Three Rivers/Josephine County SD,E,106,0,41.51,82.2,Mathematics,100,48.6
402,Applegate Elementary School,Three Rivers/Josephine County SD,E,106,0,41.51,82.2,Science,100,82.8
589,Applegate Elementary School,Crow-Applegate-Lorane SD 66,E,118,1,50,75.2,English Language Arts,95.8,26.5
589,Applegate Elementary School,Crow-Applegate-Lorane SD 66,E,118,1,50,75.2,Mathematics,97.2,27.5
589,Applegate Elementary School,Crow-Applegate-Lorane SD 66,E,118,1,50,75.2,Science,100,55.6
1334,Archer Glen Elementary School,Sherwood SD 88J,E,453,3,17.88,93,English Language Arts,100,79.8
1334,Archer Glen Elementary School,Sherwood SD 88J,E,453,3,17.88,93,Mathematics,99.6,79.3
1334,Archer Glen Elementary School,Sherwood SD 88J,E,453,3,17.88,93,Science,98.7,82.7
4805,Arco Iris Spanish Immersion School,Beaverton SD 48J,E,249,0,,90.6,English Language Arts,99.3,81.1
4805,Arco Iris Spanish Immersion School,Beaverton SD 48J,E,249,0,,90.6,Mathematics,98.5,73.5
4805,Arco Iris Spanish Immersion School,Beaverton SD 48J,E,249,0,,90.6,Science,97.8,86
4762,Ardenwald Elementary School,North Clackamas SD 12,E,471,1,56.26,83.7,English Language Arts,99.1,40.7
4762,Ardenwald Elementary School,North Clackamas SD 12,E,471,1,56.26,83.7,Mathematics,97.3,33.3
4762,Ardenwald Elementary School,North Clackamas SD 12,E,471,1,56.26,83.7,Science,98.7,80.3
826,Arleta Elementary School,Portland SD 1J,E,454,2,59.03,85.7,English Language Arts,75.1,45.3
826,Arleta Elementary School,Portland SD 1J,E,454,2,59.03,85.7,Mathematics,74.7,35.5
826,Arleta Elementary School,Portland SD 1J,E,454,2,59.03,85.7,Science,85.9,61.6
323,Arlington Community Charter School,Arlington SD 3,H,136,1,66.91,72,English Language Arts,98.2,53.6
323,Arlington Community Charter School,Arlington SD 3,H,136,1,66.91,72,Mathematics,94.7,38.9
323,Arlington Community Charter School,Arlington SD 3,H,136,1,66.91,72,Science,95.2,80
3247,Armadillo Technical Institute,Phoenix-Talent SD 4,H,93,1,52.69,38,English Language Arts,94.6,31.4
3247,Armadillo Technical Institute,Phoenix-Talent SD 4,H,93,1,52.69,38,Mathematics,89.2,6.1
3247,Armadillo Technical Institute,Phoenix-Talent SD 4,H,93,1,52.69,38,Science,85.7,62.5
1039,Armand Larive Middle School,Hermiston SD 8,M,665,1,65.86,87.3,English Language Arts,99.7,55.5
1039,Armand Larive Middle School,Hermiston SD 8,M,665,1,65.86,87.3,Mathematics,100,40.6
1039,Armand Larive Middle School,Hermiston SD 8,M,665,1,65.86,87.3,Science,100,81.7
3580,Arthur Academy,David Douglas SD 40,E,156,0,39.1,95,English Language Arts,98.6,76.1
3580,Arthur Academy,David Douglas SD 40,E,156,0,39.1,95,Mathematics,98.6,56.3
3580,Arthur Academy,David Douglas SD 40,E,156,0,39.1,95,Science,100,95
1304,Arts and Communication Magnet Academy,Beaverton SD 48J,H,726,1,21.9,84.9,English Language Arts,87.2,79
1304,Arts and Communication Magnet Academy,Beaverton SD 48J,H,726,1,21.9,84.9,Mathematics,85.5,45.4
1304,Arts and Communication Magnet Academy,Beaverton SD 48J,H,726,1,21.9,84.9,Science,,
4554,Arts and Technology Academy at Jefferson,Eugene SD 4J,M,296,4,71.96,79.6,English Language Arts,97.5,57.6
4554,Arts and Technology Academy at Jefferson,Eugene SD 4J,M,296,4,71.96,79.6,Mathematics,97.5,42.4
4554,Arts and Technology Academy at Jefferson,Eugene SD 4J,M,296,4,71.96,79.6,Science,98.8,77.6
4773,Arts and Technology High School,West Linn-Wilsonville SD 3J,H,73,0,49.32,30.2,English Language Arts,41.4,33.3
4773,Arts and Technology High School,West Linn-Wilsonville SD 3J,H,73,0,49.32,30.2,Mathematics,93.1,14.8
4773,Arts and Technology High School,West Linn-Wilsonville SD 3J,H,73,0,49.32,30.2,Science,96.6,42.9
3464,Ash Creek Elementary School,Central SD 13J,E,492,1,64.02,81,English Language Arts,98.8,33.3
3464,Ash Creek Elementary School,Central SD 13J,E,492,1,64.02,81,Mathematics,99.2,31.3
3464,Ash Creek Elementary School,Central SD 13J,E,492,1,64.02,81,Science,98.6,52.8
381,Ashland High School,Ashland SD 5,H,996,1,35.74,74.6,English Language Arts,99.1,82.7
381,Ashland High School,Ashland SD 5,H,996,1,35.74,74.6,Mathematics,98.3,50.7
381,Ashland High School,Ashland SD 5,H,996,1,35.74,74.6,Science,98.7,61
380,Ashland Middle School,Ashland SD 5,M,574,1,42.16,78.6,English Language Arts,98.8,76.5
380,Ashland Middle School,Ashland SD 5,M,574,1,42.16,78.6,Mathematics,97.9,61.7
380,Ashland Middle School,Ashland SD 5,M,574,1,42.16,78.6,Science,98.5,83.7
427,Ashwood Elementary School,Ashwood SD 8,E,5,1,,,English Language Arts,,
427,Ashwood Elementary School,Ashwood SD 8,E,5,1,,,Mathematics,,
827,Astor Elementary School,Portland SD 1J,E,506,2,54.35,87.7,English Language Arts,94,47.3
827,Astor Elementary School,Portland SD 1J,E,506,2,54.35,87.7,Mathematics,94.4,42.3
827,Astor Elementary School,Portland SD 1J,E,506,2,54.35,87.7,Science,93.6,62.5
144,Astoria Middle School,Astoria SD 1,M,412,1,52.18,85.8,English Language Arts,97,63.3
144,Astoria Middle School,Astoria SD 1,M,412,1,52.18,85.8,Mathematics,98.8,44
144,Astoria Middle School,Astoria SD 1,M,412,1,52.18,85.8,Science,98.4,66.4
146,Astoria Senior High School,Astoria SD 1,H,580,1,47.24,74.1,English Language Arts,93.3,78.4
146,Astoria Senior High School,Astoria SD 1,H,580,1,47.24,74.1,Mathematics,92.4,9.1
146,Astoria Senior High School,Astoria SD 1,H,580,1,47.24,74.1,Science,93.3,33.3
1053,Athena Elementary School,Athena-Weston SD 29RJ,E,183,2,60.66,81.4,English Language Arts,100,46.7
1053,Athena Elementary School,Athena-Weston SD 29RJ,E,183,2,60.66,81.4,Mathematics,100,46.7
1287,Athey Creek Middle School,West Linn-Wilsonville SD 3J,M,635,0,14.65,87.7,English Language Arts,99.5,76.8
1287,Athey Creek Middle School,West Linn-Wilsonville SD 3J,M,635,0,14.65,87.7,Mathematics,99.5,66.4
1287,Athey Creek Middle School,West Linn-Wilsonville SD 3J,M,635,0,14.65,87.7,Science,99.1,78.6
828,Atkinson Elementary School,Portland SD 1J,E,428,3,39.02,86,English Language Arts,94.1,65.6
828,Atkinson Elementary School,Portland SD 1J,E,428,3,39.02,86,Mathematics,93.1,58.4
828,Atkinson Elementary School,Portland SD 1J,E,428,3,39.02,86,Science,98.5,60
728,Auburn Elementary School,Salem-Keizer SD 24J,E,646,1,81.89,77.4,English Language Arts,99,27.7
728,Auburn Elementary School,Salem-Keizer SD 24J,E,646,1,81.89,77.4,Mathematics,98.6,22.8
728,Auburn Elementary School,Salem-Keizer SD 24J,E,646,1,81.89,77.4,Science,98.9,34.8
719,Aumsville Elementary School,Cascade SD 5,E,570,4,58.25,85.6,English Language Arts,98.7,53.4
719,Aumsville Elementary School,Cascade SD 5,E,570,4,58.25,85.6,Mathematics,98.7,39.2
719,Aumsville Elementary School,Cascade SD 5,E,570,4,58.25,85.6,Science,99.1,71.2
504,Awbrey Park Elementary School,Eugene SD 4J,E,383,1,56.14,84.7,English Language Arts,98.4,53.8
504,Awbrey Park Elementary School,Eugene SD 4J,E,383,1,56.14,84.7,Mathematics,98.9,48.1
504,Awbrey Park Elementary School,Eugene SD 4J,E,383,1,56.14,84.7,Science,96.6,75
235,Azalea Middle School,Brookings-Harbor SD 17C,M,367,1,62.94,80.9,English Language Arts,97,36.3
235,Azalea Middle School,Brookings-Harbor SD 17C,M,367,1,62.94,80.9,Mathematics,97.8,24
235,Azalea Middle School,Brookings-Harbor SD 17C,M,367,1,62.94,80.9,Science,98,59
4759,Baker Early College,Baker SD 5J,H,169,0,,,English Language Arts,,95
4759,Baker Early College,Baker SD 5J,H,169,0,,,Mathematics,82.1,68.8
4759,Baker Early College,Baker SD 5J,H,169,0,,,Science,100,62.8
8,Baker High School,Baker SD 5J,H,499,1,44.69,77.7,English Language Arts,96.2,81
8,Baker High School,Baker SD 5J,H,499,1,44.69,77.7,Mathematics,95.4,44.8
8,Baker High School,Baker SD 5J,H,499,1,44.69,77.7,Science,96.9,81.1
1,Baker Middle School,Baker SD 5J,M,245,2,53.88,81.1,English Language Arts,98.4,51.5
1,Baker Middle School,Baker SD 5J,M,245,2,53.88,81.1,Mathematics,98.4,36.4
1,Baker Middle School,Baker SD 5J,M,245,2,53.88,81.1,Science,98.4,69.2
4434,Baker Prairie Middle School,Canby SD 86,M,585,1,51.79,85.1,English Language Arts,96.7,55.9
4434,Baker Prairie Middle School,Canby SD 86,M,585,1,51.79,85.1,Mathematics,96.5,44
4434,Baker Prairie Middle School,Canby SD 86,M,585,1,51.79,85.1,Science,99.3,65.8
4728,Baker Web Academy,Baker SD 5J,H,532,0,,77,English Language Arts,90.3,51.3
4728,Baker Web Academy,Baker SD 5J,H,532,0,,77,Mathematics,90.3,25.8
4728,Baker Web Academy,Baker SD 5J,H,532,0,,77,Science,98,55.4
218,Bandon Senior High School,Bandon SD 54,H,229,1,73.8,76.2,English Language Arts,100,56.5
218,Bandon Senior High School,Bandon SD 54,H,229,1,73.8,76.2,Mathematics,100,35.5
218,Bandon Senior High School,Bandon SD 54,H,229,1,73.8,76.2,Science,93.7,59.3
