District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,Pct Mobile Students 2014-15,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2011-12,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2013-14,Freshmen On Track 2014-15,State Freshman On Track,Like Schools Freshman On Track,SAT Participation 2011-12,SAT Participation 2012-13,SAT Participation 2013-14,SAT Participation 2014-15,State SAT Participation,Like Schools SAT Participation,Four Year Graduation Rate 2010-11,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2010-11,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2010-11,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2009-10,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,State Continuing Education Rate,Like Schools Continuing Education Rate
2063,Adel SD 21,Mary Woodworth,498,Adel Elementary School,Bob Nash,Grade(s) 4-8,E,Lake,8,--,5,3,>95%,0.0%,8.0,25.0,--,--,,,,,,,,,*,*,*,0,0,0,0,0,0,100%,1,Not Rated,,Not Rated,42.9,55.1,--,28.6,42.9,--,*,*,*,*,65.9,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,Adrian SD 61,Gene Mills,707,Adrian Elementary School,William Ellsworth,Grade(s) K-8,E,Malheur,182,79,42,61,88.9%,19.6%,20.0,25.0,18.0,25.0,,,,,,,,,16%,64%,12%,1%,0,29%,1%,2%,0,69%,2,Not Rated,,Not Rated,63.5,53.8,47.8,63.5,43.6,39.8,>95,>95,93.5,>95,65.9,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,Adrian SD 61,Gene Mills,708,Adrian High School,Kevin Purnell,Grade(s) 9-12,H,Malheur,81,,,,92.3%,13.6%,--,--,,,11.0,24.0,9.5,24.0,11.0,26.0,14.0,26.0,23%,40%,15%,4%,0,23%,2%,4%,0,67%,2,Not Rated,,Not Rated,81.8,68.5,51.1,25.0,31.6,19.6,76.2,57.1,77.8,83.3,62.6,64.7,>95,>95,79.9,81.8,38.5,42.9,64.3,57.9,31.7,19.1,100.0,95.5,78.3,84.6,72.0,80.7,100.0,100.0,100.0,95.7,82.1,83.0,0.0,0.0,3.0,0.0,4.0,4.1,68.4,61.1,52.4,50.0,60.5,53.8
1899,Alsea SD 7J,Katie Sapp,16,Alsea Elementary School,Marc Thielman,Grade(s) K-6,E,Benton,89,57,18,14,77.4%,22.1%,14.5,25.0,18.0,25.0,,,,,,,,,*,56%,21%,0,0,6%,0,0,0,94%,2,Not Rated,,Not Rated,25.0,51.9,48.1,26.3,43.5,42.0,88.9,75.0,42.9,*,66.8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Alsea SD 7J,Katie Sapp,17,Alsea High School,Marc Thielman,Grade(s) 7-12,H,Benton,100,,,,62.0%,38.9%,--,--,,,13.5,24.0,10.0,24.0,12.0,26.0,10.0,26.0,*,40%,11%,0,0,6%,2%,4%,0,88%,3,Not Rated,,Not Rated,50.0,60.9,42.9,33.3,40.2,20.8,66.7,37.5,82.4,61.1,63.9,54.0,>95,<5,79.9,54.4,57.1,44.4,6.7,44.4,31.7,16.7,83.3,81.3,77.8,82.4,72.0,46.8,71.4,84.6,93.8,88.9,82.1,69.7,2.3,11.6,0.0,2.3,4.0,8.4,40.0,36.4,53.8,62.5,60.5,34.0
2252,Amity SD 4J,Jeff Clark,1208,Amity Elementary School,Danielle Ludwick,Grade(s) K-5,E,Yamhill,353,236,117,--,76.6%,13.1%,20.0,25.0,--,--,,,,,,,,,9%,55%,8%,<1%,1%,18%,1%,3%,<1%,78%,3,Not Rated,,Not Rated,37.6,51.1,54.6,28.2,44.8,45.7,65.0,43.8,56.9,60.4,66.8,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,Amity SD 4J,Jeff Clark,1210,Amity High School,Chris Daniels,Grade(s) 9-12,H,Yamhill,286,,,,69.8%,17.4%,--,--,,,20.5,24.0,19.0,24.0,18.0,26.0,26.0,26.0,7%,32%,15%,1%,<1%,12%,2%,6%,0,79%,6,Not Rated,,Not Rated,62.2,68.5,73.7,26.3,31.6,28.6,66.7,63.8,57.1,82.4,62.6,62.6,78.1,80.6,79.9,80.5,26.8,30.3,36.5,26.6,31.7,38.5,81.5,76.3,78.5,89.3,72.0,74.9,93.4,90.9,88.2,89.1,82.1,86.2,1.2,0.0,4.2,2.1,4.0,3.0,55.4,61.7,53.0,58.2,60.5,54.2
2252,Amity SD 4J,Jeff Clark,1209,Amity Middle School,David Lund,Grade(s) 6-8,M,Yamhill,194,,,,70.2%,9.8%,19.0,25.0,,,19.0,24.0,19.0,24.0,21.0,26.0,22.0,26.0,9%,55%,13%,0,0,16%,1%,6%,0,77%,3,Not Rated,,Not Rated,46.2,56.4,54.1,28.0,42.5,38.7,83.8,63.6,76.5,58.6,65.0,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,Amity SD 4J,Jeff Clark,4505,Eola Hills Charter School,Nicole Wollenweber,Grade(s) K-12,H,Yamhill,49,,,,47.7%,46.2%,4.0,25.0,,,--,--,9.0,24.0,--,--,--,--,*,*,37%,0,4%,20%,4%,6%,0,65%,2,Not Rated,,Not Rated,12.5,55.7,45.8,12.5,42.1,22.7,30.0,45.5,60.0,22.2,64.9,61.0,*,*,79.9,80.0,--,--,--,0.0,31.7,31.6,25.0,85.7,50.0,50.0,72.0,53.2,0.0,33.3,100.0,57.1,82.1,71.1,7.7,7.7,5.0,11.1,4.0,6.2,--,0.0,33.3,0.0,60.5,34.6
2111,Annex SD 29,Steve Bishop,705,Annex Charter School,Steve Bishop,Grade(s) K-8,E,Malheur,71,40,17,14,80.6%,23.1%,20.5,25.0,--,--,,,,,,,,,24%,***,15%,3%,1%,32%,1%,4%,0,58%,1,Not Rated,,Not Rated,36.1,53.8,35.2,33.3,43.6,31.9,42.9,42.9,38.5,50.0,65.9,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
