County,Agr.,Site.,Sponsor.Name,Site.Name,SchoolID,Area.Eligible.School,Street.Address,Addr2,City,State,Zip.Code,Opening.Date,Closing.Date,Operating.Days,Breakfasts.Served,AM.Snacks.Served,Lunches.Served,PM.Snacks.Served,Suppers.Served,X
Deschutes,918002,14881,Redmond SD 2J,Redmond Boys & Girls Club,,259,145 SE Salmon,,Redmond,OR,97756,10-Jun-13,23-Aug-13,53,1678,0,3082,0,0,NA
Morrow,2513001,10918,Morrow Co SD,A C Houghton Elem,813,AC Houghton Elementary,1105 N. Main Avenue,,Irrigon,OR,97844,12-Jun-13,28-Jun-13,13,1739,0,1812,0,0,NA
Lane,2006004,12450,Food For Lane County,Washington Park,503,Adams Elementary School,19th & Washington,,Eugene,OR,97401,24-Jun-13,23-Aug-13,44,0,0,1770,0,0,NA
Lane,2006004,14485,Food For Lane County,Jesse Maine Park,1353,Agnes Stewart Middle School,South 69th Place,,Springfield,OR,97478,24-Jun-13,23-Aug-13,44,0,0,1363,0,0,NA
Malheur,2308002,14978,"Harvest House Missions, Inc.","Lions Park, Ontario OR",694,Aiken Elementary,SW 9th St,,Ontario,OR,97913,10-Jun-13,16-Aug-13,48,0,0,1032,0,0,NA
Malheur,2315001,10803,Ontario SD,Alameda Elem,692,Alameda Elementary,1252 Alameda Dr,,Ontario,OR,97914,15-Jul-13,9-Aug-13,18,1504,0,1637,0,0,NA
Malheur,2308002,13739,"Harvest House Missions, Inc.",Eastside Kiwanas Park,692,Alameda Elementary,730 SE 5th St,,Ontario,OR,97914,10-Jun-13,16-Aug-13,48,0,0,1042,0,0,NA
Malheur,2308002,15133,"Harvest House Missions, Inc.",West Alameda Apts.,692,Alameda Elementary,PO Box 877,161 SW 9th St.,Ontario,OR,97914,10-Jun-13,16-Aug-13,48,0,0,1317,0,0,NA
Linn,2207001,12512,Greater Albany SD 8J,Albany Options,3950,Albany Options School,701 19th Ave SE,,Albany,OR,97322,17-Jun-13,16-Aug-13,10,0,43,0,0,0,NA
Multnomah,2603006,14941,Centennial SD 28J,Alder Elem School,943,Alder Elem,17200 se alder st,,portland,OR,97233,24-Jun-13,8-Aug-13,15,0,0,409,0,0,NA
Multnomah,2618002,11077,Reynolds SD 7,Alder Elem,943,Alder Elementary,17200 SE Alder St,,Portland,OR,97233,15-Jul-13,8-Aug-13,16,1508,0,1806,0,0,NA
Multnomah,2622004,15229,Volunteers of America Oregon,Multnomah County Public Library - Rockwood Library,943,Alder Elementary,17917 Southeast Stark Street,,Portland,OR,97233,18-Jun-13,23-Aug-13,45,0,0,2051,0,0,NA
Multnomah,2604001,10937,David Douglas SD 40,Alice Ott Middle,980,Alice Ott,12500 SE Ramona,,Portland,OR,97236,24-Jun-13,16-Aug-13,38,703,0,2577,0,0,NA
Josephine,1707001,10090,Grants Pass SD,Allen Dale Elementary,435,Allen Dale Elementary,2320 Williams Hwy,,Grants Pass,OR,97527,17-Jun-13,23-Aug-13,48,0,0,1756,0,0,NA
Washington,3402002,13543,Beaverton SD 48J,Kinnaman Town Home Apartment Complex,1153,Aloha Huber Elementary School,17647 SW Kinnaman st,,Beaverton,OR,97007,18-Jun-13,16-Aug-13,43,0,0,789,0,0,NA
Washington,3402002,11202,Beaverton SD 48J,Aloha-Huber Park Elem,1153,Aloha Huber Park Elementary,5000 sw 173rd. avenue,,Beaverton,OR,97007,18-Jun-13,16-Aug-13,43,2718,0,5827,0,0,NA
Yamhill,3601003,14914,Amity Assembly of God,Amity Assembly of God,1208,Amity Elementary,118 Maddox Ave,,Amity,OR,97101,17-Jun-13,30-Aug-13,60,1318,0,2824,0,0,NA
Yamhill,3601003,15003,Amity Assembly of God,Amity Grade School,1208,Amity Elementary,300 Rice Ln,,Amity,OR,97101,29-Jul-13,16-Aug-13,2,0,0,0,0,0,NA
Multnomah,2616011,11004,Portland SD,Arleta Elem,826,Arleta Elem,5109 SE 66th,,"Portland, OR",OR,97206,24-Jun-13,16-Aug-13,37,0,0,899,0,0,NA
Lane,2006004,15094,Food For Lane County,Arts & Technology,4554,Arts & Technology,1650 W 2nd Ave,,Eugene,OR,97405,17-Jun-13,21-Jun-13,5,119,0,375,0,0,NA
Lane,2005005,10604,Eugene SD 4J,Winston Churchill High,4554,Arts & Technology Academy,1850 Bailey Hill Rd,,Eugene,OR,97405,5-Aug-13,29-Aug-13,16,0,0,376,0,0,NA
Clatsop,401002,15107,Astoria SD,14th Street Park,143,Astor Elementary,14th ST,,Astoria,OR,97103,17-Jun-13,30-Aug-13,47,0,0,464,0,0,NA
Clatsop,401002,10010,Astoria SD,Astor Elementary,143,Astor Elementary,3550 Franklin AVE,,Astoria,OR,97103,25-Jun-13,24-Jul-13,17,0,0,883,0,0,NA
Clatsop,401002,14550,Astoria SD,Astoria Aquatic Center,143,Astor Elementary,1997 Marine Drive,,Astoria,OR,97103,17-Jun-13,30-Aug-13,46,0,0,332,0,0,NA
Clatsop,401002,14429,Astoria SD,Emerald Heights,143,Astor Elementary,1 Emerald Drive,,Astoria,OR,97103,17-Jun-13,30-Aug-13,47,0,0,499,0,0,NA
Clatsop,401002,14965,Astoria SD,Peter Pan Park,143,Astor Elementary,785 Alameda Ave,,Astoria,OR,97103,17-Jun-13,30-Aug-13,47,0,0,1018,0,0,NA
Clatsop,401002,14483,Astoria SD,Tapiola Park,143,Astor Elementary,900 W Marine Dr,,Astoria,OR,97103,17-Jun-13,30-Aug-13,41,0,0,363,0,0,NA
Clatsop,401002,10009,Astoria SD,Astoria Middle School,144,Astoria Middle School,1100 Klaskanine,,Atoria,OR,97103,17-Jun-13,30-Aug-13,25,0,0,444,0,0,NA
Marion,2419004,10850,Salem/Keizer SD 24J,Auburn Elem,728,Auburn Elementary,4612 Auburn Rd. NE,,Salem,OR,97301,13-Jun-13,30-Aug-13,57,0,0,2918,0,0,NA
Marion,2403005,10814,Cascade SD 005,Aumsville Elem,719,Aumsville Elementary,1105 Main St,,Aumsville,OR,97325,17-Jun-13,12-Aug-13,9,0,0,877,0,0,NA
Lane,2005005,10615,Eugene SD 4J,Awbrey Park Elem,504,Awbrey Park Elementary,158 Spring Creek Dr,,Eugene,OR,97404,8-Jul-13,31-Jul-13,12,0,0,1714,0,0,NA
Lane,2006004,12454,Food For Lane County,Ross Lane,504,Awbrey Park Elementary,554 Helen Street,,Eugene,OR,97404,24-Jun-13,23-Aug-13,44,0,0,1085,0,0,NA
Washington,3402002,11203,Beaverton SD 48J,Barnes Elem,1154,Barnes Elementary School,13730 SW Walker Road,,Beaverton,OR,97005,18-Jun-13,16-Aug-13,43,670,0,2402,0,0,NA
Washington,3406002,14912,"Faith Cafe, Inc.",Barnes Elementary - Faith Cafe,1154,Barnes Elementary School,13730 SW Denney Rd.,,Beaverton,OR,97005,15-Jun-13,24-Aug-13,10,0,0,450,0,0,NA
Washington,3402002,11193,Beaverton SD 48J,Sunset High,1154,Barnes Elementary School,13840 NW Cornell Rd.,,Portland,OR,97229,24-Jun-13,25-Jul-13,19,444,0,787,0,0,NA
Washington,3402002,14888,Beaverton SD 48J,"Tualatin Hills Park and Recreation, Howard M. Terpenning Complex",1154,Barnes Elementary School,15707 SW Walker Road,,Beaverton,OR,97006,18-Jun-13,16-Aug-13,43,0,0,2138,0,0,NA
Deschutes,902001,13981,Bend/LaPine SD,Boys & Girls Club - Ariel,241,Bear Creek Elementary,1700 SE Tempest Drive,,Bend,OR,97702,17-Jun-13,28-Aug-13,48,338,0,0,0,0,NA
Deschutes,902001,13695,Bend/LaPine SD,Larkspur Park,241,Bear Creek Elementary,1700 SE Reed Market Road,,Bend,OR,97702,17-Jun-13,23-Aug-13,48,0,0,2681,0,0,NA
Washington,3402002,11204,Beaverton SD 48J,Beaver Acres Elem,1155,Beaver Acres Elementary School,2125 sw 170th,,Beaverton,OR,97007,18-Jun-13,16-Aug-13,43,0,0,3214,0,0,NA
Washington,3406002,14910,"Faith Cafe, Inc.",Beaver Acres Elementary - Faith Cafe,1155,Beaver Acres Elementary School,2125 SW 170th Street,,Beaverton,OR,97007,15-Jun-13,24-Aug-13,10,0,0,326,0,0,NA
Washington,3402002,14432,Beaverton SD 48J,Merlo Station Apt Complex,1155,Beaver Acres Elementary School,2032 SW Merlo Road,,Beaverton,OR,97007,19-Jun-13,16-Aug-13,42,0,0,3660,0,0,NA
Multnomah,2616011,10971,Portland SD,Benson High,906,Benson High,546 NE 12th Ave,,Portland,OR,97232,24-Jun-13,9-Aug-13,28,2536,0,3073,0,0,NA
Lane,2005005,10599,Eugene SD 4J,Henry D Sheldon High,,Bertha Holt,2455 Willakenzie Rd,,Eugene,OR,97401,5-Aug-13,28-Aug-13,15,0,0,288,0,0,NA
Lane,2006004,13080,Food For Lane County,Game Bird Park,,Bertha Holt Elementary School,Mallard & Grouse streets,,Springfield,OR,97477,24-Jun-13,23-Aug-13,44,0,0,2296,0,0,NA
Lane,2006004,14219,Food For Lane County,Willamette Gardens,,Bertha Holt Elementary School,3545 Kinsrow Avenue,,Eugene,OR,97401,24-Jun-13,23-Aug-13,44,0,0,2347,0,0,NA
Clackamas,314001,15244,North Clackamas SD 12,Schellenberg Campus,65,Bilquist Elementary,14450 SE Johnson Road,,Milwaukie,OR,97267,21-Jun-13,19-Jul-13,20,1136,0,2205,0,0,NA
