Sponsor,Site_Name,SchoolID,AgrNbr,SiteNbr,Site_Type,County,Street_Address,Addr2,City,State,Zip_Code,Start_Date,End_Date,Breakfast,Brk_Mon,Brk_Tue,Brk_Wed,Brk_Thu,Brk_Fri,Brk_Sat,Brk_Sun,AM_Snack,Ams_Mon,Ams_Tue,Ams_Wed,Ams_Thu,Ams_Fri,Ams_Sat,Ams_Sun,Lunch,Lun_Mon,Lun_Tue,Lun_Wed,Lun_Thu,Lun_Fri,Lun_Sat,Lun_Sun,PM_Snack,Pms_Mon,Pms_Tue,Pms_Wed,Pms_Thu,Pms_Fri,Pms_Sat,Pms_Sun,Supper,Sup_Mon,Sup_Tue,Sup_Wed,Sup_Thu,Sup_Fri,Sup_Sat,Sup_Sun,Qualifying_Area_School,QAS_F_R
Baker SD 5J,North Baker Elementary,6,102001,10021,Open,Baker,2725 Seventh street,,Baker City,OR,97814,6/16/2014,8/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brooklyn,73%
Baker SD 5J,South Baker Elementary,7,102001,10022,Open,Baker,1285 Third Street,,Baker City,OR,97814,6/16/2014,7/31/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brooklyn,73%
Corvallis SD 509J,Garfield Elem,30,203003,10178,Open,Benton,1205 NW Garfield Ave.,,Corvallis,OR,97330,6/16/2014,8/29/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garfield Elementary School,72%
Corvallis SD 509J,Lincoln Elem,36,203003,10183,Open,Benton,110 SE Alexander Ave.,,Corvallis,OR,97333,6/16/2014,8/29/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lincoln Elementary School,67%
Corvallis SD 509J,Wilson Elem,39,203003,10185,Open,Benton,2701 NW Satinwood,,Corvallis,OR,97330,6/16/2014,8/29/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wilson Elementary School,53%
Corvallis SD 509J,Corvallis High,40,203003,10170,Open,Benton,1400 NW Buchanan Ave,,Corvallis,OR,97330,7/9/2014,8/22/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garfield Elementary School,72%
North Clackamas SD 12,Ardenwald Elem,63,314001,10250,Open,Clackamas,8950 SE 36th St.,,Milwaukie,OR,97222,6/23/2014,7/17/2014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ardenwald Elementary,57%
North Clackamas SD 12,Whitcomb Elem,72,314001,10267,Open,Clackamas,7400 SE Thompson Rd,,Milwaukie,OR,97222,6/23/2014,8/14/2014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lot Whitcomb Elementary,86%
North Clackamas SD 12,Oak Grove Elem,75,314001,10262,Open,Clackamas,2150 SE Torbank Road,,Milwaukie,OR,97222,6/23/2014,8/7/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oak Grove Elementary,69%
North Clackamas SD 12,Riverside Elem,76,314001,10264,Open,Clackamas,16303 SE River Rd.,,Milwaukie,OR,97267,6/23/2014,7/17/2014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Riverside Elementary,55%
North Clackamas SD 12,Rowe Middle,84,314001,10246,Restricted Open,Clackamas,3606 SE Lake Road,,Milwaukie,OR,97222,6/23/2014,7/17/2014,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rowe Middle,68%
North Clackamas SD 12,Milwaukie High,86,314001,10244,Open,Clackamas,11300 SE 23rd,,Milwaukie,OR,97222,7/28/2014,8/8/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rowe Middle,68%
Molalla River SD 35,Molalla Elem,94,313001,10239,Open,Clackamas,910 Toliver Rd,,Molalla,OR,97038,7/14/2014,8/8/2014,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Molalla Elementary School,65%
Oregon City SD 62,Holcomb Elem,107,315002,10281,Open,Clackamas,14625 S. Holcomb Blvd.,,Oregon City,OR,97045,6/16/2014,8/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holcomb Elementary School,54%
Oregon City SD 62,Gardiner Middle,115,315002,10276,Open,Clackamas,180 Ethel St,,Oregon City,OR,97045,6/16/2014,8/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
