SchoolID,Sponsor,Site.Name,County,SA.City,Start.Date,End.Date,Breakfast,Lunch,PM.Snack,Supper,Activities
30,Corvallis SD 509J,Garfield Elem,Benton,Corvallis,6/16/2015,9/4/2015,08:00 AM - 08:30 AM   MTuWThF,12:00 PM - 12:30 PM   MTuWThF,,,Parks & Rec program
36,Corvallis SD 509J,Lincoln Elem,Benton,Corvallis,6/16/2015,9/4/2015,08:00 AM - 08:45 AM   MTuWThF,12:00 PM - 12:30 PM   MTuWThF,,,Summer School
39,Corvallis SD 509J,Wilson Elem,Benton,Corvallis,6/16/2015,9/4/2015,08:00 AM - 08:30 AM   MTuWThF,12:00 PM - 12:30 PM   MTuWThF,,,Parks & Rec program
72,North Clackamas SD 12,Whitcomb Elem,Clackamas,Milwaukie,6/15/2015,8/13/2015,09:00 AM - 09:30 AM   MTuWTh,12:30 PM - 01:00 PM   MTuWTh,,,Metropolitan Family Services intructional and enrichment programs
86,North Clackamas SD 12,Milwaukie High,Clackamas,Milwaukie,7/27/2015,8/7/2015,09:00 AM - 09:30 AM   MTuWThF,12:15 PM - 01:00 PM   MTuWThF,,,High School Summer School
94,Molalla River SD 35,Molalla Elem,Clackamas,Molalla,7/6/2015,7/30/2015,08:30 AM - 09:15 AM   MTuWThF,11:30 AM - 12:15 PM   MTuWThF,,,
107,Oregon City SD 62,Holcomb Elem,Clackamas,Oregon City,6/15/2015,8/14/2015,,12:15 PM - 01:15 PM   MTuWThF,,,"There will be games, reading and/or art activities going on each day."
115,Oregon City SD 62,Gardiner Middle,Clackamas,Oregon City,6/15/2015,8/14/2015,,12:15 PM - 01:15 PM   MTuWThF,,,"Arts and crafts, literacy and/or games."
119,Silver Falls SD 4,Butte Creek Elem,Marion,Mt. Angel,8/10/2015,8/27/2015,08:00 AM - 08:30 AM   MTuWTh,11:30 AM - 12:00 PM   MTuWTh,,,Public School
121,"Oregon Child Development Coalition, Inc. -  Head Start",Mulino,Clackamas,Mulino,6/2/2015,9/30/2015,07:30 AM - 08:15 AM   MTuWThF,10:45 AM - 11:15 AM   MTuWThF,,03:00 PM - 03:30 PM   MTuWThF,Head Start class schedule
