SchoolID,School,District
813,A C Houghton Elementary School,Morrow SD 1
822,Abernethy Elementary School,Portland SD 1J
1350,Abraham Lincoln Elementary,Medford SD 549C
4555,Academy for Character Education,South Lane SD 45J3
4440,Academy of Arts and Academics,Springfield SD 19
4540,Academy of International Studies (at Woodburn),Woodburn SD 103
4648,ACE Academy,Reynolds SD 7
27,Adams Elementary School,Corvallis SD 509J
503,Adams Elementary School,Eugene SD 4J
498,Adel Elementary School,Adel SD 21
707,Adrian Elementary School,Adrian SD 61
708,Adrian High School,Adrian SD 61
1353,Agnes Stewart Middle School,Springfield SD 19
694,Aiken Elementary School,Ontario SD 8C
823,Ainsworth Elementary School,Portland SD 1J
1791,Al Kennedy Alternative High School,South Lane SD 45J3
692,Alameda Elementary School,Ontario SD 8C
824,Alameda Elementary School,Portland SD 1J
3950,Albany Options School,Greater Albany Public SD 8J
4364,Alberta Rider Elementary School,Tigard-Tualatin SD 23J
2513,Albina Head Start,ODE Head Start
3530,Alder Creek Middle School,North Clackamas SD 12
943,Alder Elementary School,Reynolds SD 7
980,Alice Ott Middle School,David Douglas SD 40
435,Allen Dale Elementary School,Grants Pass SD 7
4585,Alliance Charter Academy,Oregon City SD 62
4507,Alliance High School,Portland SD 1J
1186,Aloha High School,Beaverton SD 48J
1153,Aloha-Huber Park School,Beaverton SD 48J
16,Alsea Elementary School,Alsea SD 7J
17,Alsea High School,Alsea SD 7J
1324,Amity Creek Elementary School,Bend-LaPine Administrative SD 1
1208,Amity Elementary School,Amity SD 4J
1210,Amity High School,Amity SD 4J
1209,Amity Middle School,Amity SD 4J
705,Annex Charter School,Annex SD 29
1335,Antonia Crater Elementary School,Newberg SD 29J
589,Applegate Elementary School,Crow-Applegate-Lorane SD 66
402,Applegate Elementary School,Three Rivers/Josephine County SD
3168,Arata Creek School,Multnomah ESD
1334,Archer Glen Elementary School,Sherwood SD 88J
4805,Arco Iris Spanish Immersion School,Beaverton SD 48J
