Falls City School District 57,OR,,4100003,"1,530",3.53,20.33,15.10,44.5,92.75,0.26,0.20,0.00,0.00,5.36,80.5,13.5,0.95,"48,158","52,143",23.7,"160,000"
Vale School District 84,OR,,4100014,"4,880",8.87,19.28,16.05,35.4,93.93,0.00,1.17,0.57,0.00,10.92,84.4,14.2,4.63,"44,353","49,073",12.4,"122,100"
Gervais School District 1,OR,,4100015,"5,053",5.64,23.25,9.88,38.7,87.93,0.00,4.79,0.63,0.00,30.58,70.9,15.8,19.15,"44,428","52,143",15.8,"226,400"
Yamhill-Carlton School District 1,OR,,4100016,"6,671",4.08,23.62,10.27,40.4,96.91,0.06,0.76,0.25,0.00,4.95,88.6,22.9,1.05,"61,408","68,345",6.4,"285,300"
Harrisburg School District 7J,OR,,4100019,"5,363",5.72,20.12,10.59,36.3,96.42,0.58,0.00,1.01,0.00,6.17,87.5,14.7,2.73,"52,166","57,846",11.8,"201,500"
North Santiam School District 29J,OR,,4100020,"15,185",6.49,18.04,17.06,41.2,92.35,0.13,1.44,0.67,0.00,8.28,86.8,16.0,4.89,"55,551","65,490",10.6,"248,900"
South Wasco County School District 1,OR,,4100021,"1,928",2.96,10.68,22.93,51.7,96.73,0.00,0.67,2.18,0.00,2.44,79.6,15.6,0.53,"36,475","45,326",23.6,"192,600"
Hillsboro School District 1J,OR,,4100023,"122,782",8.60,18.92,7.84,32.7,76.54,1.97,2.24,7.66,0.28,19.83,86.6,30.1,13.00,"60,890","68,052",11.2,"261,100"
Knappa School District 4,OR,,4100040,"3,159",3.17,20.61,14.91,45.5,93.38,0.00,0.98,0.00,0.22,1.58,90.2,13.3,1.60,"57,563","68,750",5.1,"223,100"
Ione School District 2,OR,,4100047,695,7.19,23.02,17.84,42.3,92.52,0.00,0.29,0.29,0.00,5.90,87.6,25.4,1.24,"46,111","63,393",2.3,"132,300"
North Wasco School District 21,OR,,4100048,"19,510",6.42,18.31,17.47,41.1,88.86,0.55,1.98,1.33,0.00,14.56,84.2,21.8,7.64,"42,136","50,220",14.4,"178,500"
Myrtle Point School District 41,OR,,4100640,"5,038",3.97,15.58,23.16,47.8,92.87,0.97,0.93,2.34,0.00,3.20,83.2,15.3,0.99,"37,042","50,081",15.6,"177,700"
Adel School District 21,OR,,4100990,54,0.00,12.96,25.93,44.3,100.00,0.00,0.00,0.00,0.00,0.00,100.0,8.5,0.00,"21,563","43,750",44.4,"93,800"
Adrian School District 61,OR,,4101020,"1,307",8.42,16.22,18.06,39.7,89.21,0.00,0.00,0.61,0.23,14.46,87.7,19.0,8.19,"37,500","40,565",10.5,"162,900"
Greater Albany School District 8J,OR,,4101120,"57,852",7.11,18.24,13.03,37.0,90.18,0.59,1.30,1.08,0.35,8.54,89.2,20.1,3.23,"48,551","60,629",13.7,"187,000"
Alsea School District 7J,OR,,4101200,"1,304",7.06,19.86,11.89,39.8,91.49,0.00,4.60,0.46,0.00,1.76,90.8,16.3,0.58,"48,409","54,375",5.5,"196,700"
Amity School District 4J,OR,,4101230,"3,689",5.67,14.88,13.80,39.6,91.79,1.44,0.54,0.08,0.00,4.85,86.8,20.2,1.67,"52,336","60,052",12.8,"247,000"
Annex School District 29,OR,,4101350,509,6.68,19.25,18.47,35.5,81.53,0.00,1.57,3.54,0.00,28.88,77.5,14.3,6.11,"37,143","38,125",25.2,"130,300"
Arlington School District 3,OR,,4101470,727,7.84,15.41,7.98,35.5,85.42,0.00,0.14,1.38,0.55,12.52,84.0,19.5,5.67,"48,750","45,000",12.7,"89,000"
Arock School District 81,OR,,4101500,65,7.69,13.85,18.46,43.6,87.69,0.00,3.08,9.23,0.00,4.62,73.5,20.4,0.00,"44,125","46,250",6.2,"45,000"
Ashland School District 5,OR,,4101560,"24,918",4.78,13.67,16.63,42.0,91.31,0.46,1.06,1.79,0.10,4.07,95.4,51.1,1.89,"40,747","57,200",17.5,"397,700"
Ashwood School District 8,OR,,4101590,90,0.00,7.78,26.67,53.7,95.56,0.00,0.00,0.00,0.00,0.00,90.4,22.9,0.00,"37,045","47,500",20.0,"118,800"
Astoria School District 1,OR,,4101620,"14,348",5.58,14.93,15.72,40.1,86.13,0.76,0.93,2.00,0.00,8.98,90.4,22.9,3.81,"38,428","53,463",13.2,"233,900"
Athena-Weston School District 29J,OR,,4101660,"2,783",5.68,16.46,19.01,44.6,92.24,0.00,1.62,0.79,0.00,4.49,89.8,24.0,1.26,"49,779","53,750",7.3,"128,800"
Baker School District 5J,OR,,4101710,"13,362",5.77,15.55,19.43,45.8,94.99,0.16,0.94,0.13,0.00,4.15,88.9,20.9,0.14,"41,157","51,250",19.8,"134,300"
Burnt River School District 30J,OR,,4101740,412,1.46,11.65,38.59,57.3,98.79,0.00,0.00,0.00,0.00,2.67,90.4,22.0,0.74,"35,000","44,688",12.0,"128,100"
Bandon School District 54,OR,,4101800,"6,525",4.70,10.36,22.16,52.5,94.42,0.00,0.43,1.52,0.00,3.10,89.9,23.7,0.84,"33,313","42,625",19.5,"246,800"
Banks School District 13,OR,,4101830,"6,878",4.61,21.71,9.04,41.2,96.22,0.04,1.26,0.48,0.00,3.42,91.2,21.6,1.69,"86,188","88,617",6.5,"351,600"
Beaverton School District 48J,OR,,4101920,"247,490",7.23,17.90,9.09,34.8,76.28,1.66,1.36,11.15,0.34,11.59,92.4,44.2,10.43,"63,535","80,304",8.9,"318,700"
Bend-La Pine Administrative School District 1,OR,,4101980,"104,559",6.57,16.28,13.38,39.0,93.98,0.41,0.95,1.26,0.13,5.36,92.7,31.7,2.27,"54,416","63,532",8.9,"313,500"
Bethel School District 52,OR,,4102040,"35,986",7.17,17.47,14.29,36.3,87.86,0.57,2.39,1.55,0.29,11.14,88.1,19.0,3.89,"46,799","53,651",13.0,"186,300"
Blachly School District 090,OR,,4102160,690,1.16,22.90,12.61,44.1,91.16,0.00,0.58,0.87,0.00,2.32,88.0,19.7,0.44,"42,813","55,268",17.6,"193,000"
Black Butte School District 41,OR,,4102190,276,1.45,10.87,25.72,55.8,98.91,0.00,0.00,0.00,0.00,1.09,100.0,50.7,1.10,"65,156","66,875",4.3,"423,300"
Brookings-Harbor School District 17,OR,,4102310,"13,754",3.53,13.18,27.12,52.6,90.95,0.24,3.20,0.12,0.00,6.65,91.2,17.8,1.26,"35,701","50,714",12.9,"276,700"
Harney County School District 3,OR,,4102490,"5,461",4.67,16.43,20.23,47.9,91.03,0.71,2.66,1.63,0.13,4.82,89.3,15.9,0.48,"38,595","47,166",15.5,"110,400"
Butte Falls School District 91,OR,,4102580,"1,192",5.29,15.18,18.54,48.6,97.15,0.00,0.00,0.00,0.00,4.53,91.6,13.2,0.00,"42,857","45,833",15.5,"257,800"
Camas Valley School District 21J,OR,,4102610,869,3.22,21.40,18.53,47.3,86.19,0.00,5.06,0.46,5.06,4.72,88.5,9.2,0.71,"41,719","48,158",26.8,"223,300"
Canby School District 86,OR,,4102640,"30,260",5.06,17.15,17.09,42.7,91.32,0.03,1.79,1.32,0.43,12.99,87.4,27.6,7.53,"64,964","73,244",7.1,"321,900"
Cascade School District 5,OR,,4102780,"13,495",5.48,20.39,14.18,37.5,93.66,0.39,1.12,0.60,0.33,8.51,88.8,18.3,2.56,"56,750","62,258",11.3,"234,700"
Centennial School District 28J,OR,,4102800,"40,040",8.12,19.31,10.29,33.8,74.92,4.80,1.81,10.49,0.36,13.56,81.9,20.3,15.89,"51,267","56,065",16.2,"227,000"
Central School District 13J,OR,,4102840,"21,982",7.23,16.29,10.74,27.2,84.49,0.61,1.36,2.35,0.91,20.45,83.5,27.3,8.56,"42,799","61,134",18.3,"184,200"
Central Linn School District 552,OR,,4102910,"4,906",7.01,18.08,11.72,35.0,92.05,0.37,4.44,0.16,0.00,1.24,85.2,17.2,0.50,"52,732","55,441",20.7,"189,300"
Central Point School District 6,OR,,4102940,"27,576",6.05,17.05,15.23,40.5,94.98,0.37,0.46,0.88,0.12,6.11,88.5,17.6,2.27,"52,426","58,472",8.5,"247,800"
Clatskanie School District 6J,OR,,4103260,"5,543",4.89,17.55,17.97,45.9,97.06,0.00,1.46,0.34,0.00,0.97,86.9,14.9,2.22,"47,923","58,882",10.4,"175,200"
Rainier School District 13,OR,,4103265,"7,676",4.10,17.39,14.64,42.9,95.65,0.00,1.30,0.00,0.00,2.12,85.0,12.1,0.73,"52,848","59,545",10.3,"197,500"
