SchoolID,School,District,SchoolType,No_of_Program,Summer_2015_Activities,FrRedLnch_PercentEligible,PercentofStudentsNotChronicallyAbsent,Subject,ParticipationRate2014to2015,PercentageMeetsORExceeds2014to2015
1353,Agnes Stewart Middle School,Springfield SD 19,M,2,Summer camp,72.46,82,English Language Arts,99.5,45.9
1353,Agnes Stewart Middle School,Springfield SD 19,M,2,Summer camp,72.46,82,Mathematics,99.5,33.2
1353,Agnes Stewart Middle School,Springfield SD 19,M,2,Summer camp,72.46,82,Science,100,62.1
694,Aiken Elementary School,Ontario SD 8C,E,2,Migrant / Title 1 Pre-K Summer enrichment program,80.8,89.5,English Language Arts,100,32.5
694,Aiken Elementary School,Ontario SD 8C,E,2,Migrant / Title 1 Pre-K Summer enrichment program,80.8,89.5,Mathematics,100,35.8
694,Aiken Elementary School,Ontario SD 8C,E,2,Migrant / Title 1 Pre-K Summer enrichment program,80.8,89.5,Science,100,44.4
692,Alameda Elementary School,Ontario SD 8C,E,2,Migrant Summer School kindergarten to fifth grade,86,90.9,English Language Arts,99.6,40.5
692,Alameda Elementary School,Ontario SD 8C,E,2,Migrant Summer School kindergarten to fifth grade,86,90.9,Mathematics,98.7,28.6
692,Alameda Elementary School,Ontario SD 8C,E,2,Migrant Summer School kindergarten to fifth grade,86,90.9,Science,100,31.9
3950,Albany Options School,Greater Albany Public SD 8J,H,1,Childcare and Summer School,33.86,57.3,English Language Arts,97.7,25.6
3950,Albany Options School,Greater Albany Public SD 8J,H,1,Childcare and Summer School,33.86,57.3,Mathematics,,5
3950,Albany Options School,Greater Albany Public SD 8J,H,1,Childcare and Summer School,33.86,57.3,Science,100,33.3
943,Alder Elementary School,Reynolds SD 7,E,4,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10. ,90.13,79.5,English Language Arts,96.7,15.5
943,Alder Elementary School,Reynolds SD 7,E,4,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10. ,90.13,79.5,Mathematics,95.1,13.4
943,Alder Elementary School,Reynolds SD 7,E,4,Metropolitan Family Services (SUN) will be running a program from 7/13-8/6 (registration required) with reading readiness and activities. Early Kindergarten Transition will be participating (EKT)as well.  Lunch only from 6/22 -7/10. ,90.13,79.5,Science,100,33.8
